file,source,destination,hop_count,sequence,avg_rtt,max_rtt,min_rtt
2025-06-25T18:37_p_2.json,19-ffaa:1:11f3,17-ffaa:0:1101,5,"19-ffaa:1:11f3#0,1 19-ffaa:0:1303#560,1 19-ffaa:0:1301#5,1 16-ffaa:0:1001#2,1 17-ffaa:0:1101#1,0",149.1945,185.711,0.056
2025-06-25T18:37_p_1.json,19-ffaa:1:11f3,17-ffaa:0:1101,4,"19-ffaa:1:11f3#0,1 19-ffaa:0:1303#560,1 19-ffaa:0:1301#5,4 17-ffaa:0:1101#6,0",140.63727777777777,185.299,0.094
2025-06-25T18:37_p_4.json,19-ffaa:1:11f3,17-ffaa:0:1101,6,"19-ffaa:1:11f3#0,1 19-ffaa:0:1303#560,1 19-ffaa:0:1301#5,3 18-ffaa:0:1201#5,3 20-ffaa:0:1401#5,2 17-ffaa:0:1101#3,0",280.08776666666665,679.908,0.138
2025-06-25T18:37_p_3.json,19-ffaa:1:11f3,17-ffaa:0:1101,5,"19-ffaa:1:11f3#0,1 19-ffaa:0:1303#560,1 19-ffaa:0:1301#5,3 18-ffaa:0:1201#5,4 17-ffaa:0:1101#5,0",196.05483333333333,362.867,0.074
